,,휴지통,,
,순,제목,회차,신규
,1,0번째 마법사,,
,2,1년차 만렙 매니저,,
,3,31번째 말은 게임판을 뒤엎는다,,
,4,8클래스 마법사의 회귀,X,
,5,9클래스 소드 마스터 : 검의 구도자,X,
,6,가드패스,,
,7,간신이 나라를 살림,,
,8,감정사는 조회수로 레벨업한다,X,
,9,강호 아포칼립스,,
,10,개신령님과의 49일,,
,11,검과 마법,,
,12,검사님 출세하신다!,,
,13,겁쟁이 피지컬,,
,14,겜잘알,,
,15,"격투 챔피언, 무림에 가다",,
,16,결일문 : 목각사단의 비밀,,
,17,고등패왕전기,,
,18,곤륜마협,,
,19,골든 프린트,,
,20,골든메이지,X,
,21,공략본을 구사하는 최강의 마,,
,22,공헌자,X,
,23,괴식식당,,
,24,구원,,
,25,귀환용사의 골목식당,,
,26,그레이트 써전,X,
,27,극락왕생,,
,28,근육지상주의,,
,29,기사가문 망나니는 10클래스,,
,30,기적의 앱스토어,,
,31,기초 만렙 김대찬,,
,32,길동,X,
,33,나 빼고 다 귀환자,,
,34,나 혼자 자동사냥,,
,35,나는 회귀자가 아닙니다,X,
,36,나의 악당들,,
,37,나인 판타지,,
,38,나태한 마왕은 신과 싸우기로 결심한다,,
,39,나홀로 무한 전직,,
,40,,,
,41,낙인의 플레인워커,,
,42,낙제 현자의 학원무쌍,,
,43,난 할 수 있어,,
,44,"날백수, 스킬 하나로 정점에 서다",,
,45,남궁세가 막내공자,X,
,46,남궁세가 소공자,X,
,47,내 딸은 드래곤!,,
,48,내 딸은 음악천재,,
,49,내 부하들이 미친듯이 유능하다,X,
,50,내 턴은 끝나지 않아,,
,51,내가 미래의 왕?,,
,52,내일의 마법 대륙,,
,53,노력의 만,,
,54,뇌신전생,,
,55,누가 무림맹주를 죽였나,,
,56,눈 떠보니 레벨1,,
,57,뉴비 1일차로 무한 회귀,X,
,58,뉴비 매니지먼트,,
,59,능천,,
,60,다운로더,,
,61,다이아 플레이어,,
,62,다크 판타지의 망캐가 되었다,,
,63,닥터 플레이어,,
,64,대마법사를 위한 고교생활 가이드,,
,65,대장장이 지그,X,
,66,더 게이머 : 판타지아,,
,67,더 로드,,
,68,더 챌린저,,
,69,더스크 하울러,,
,70,데뷔 못 하면 죽는 병 걸림,,
,71,도시 황제의 귀환,,
,72,동방불패,X,
,73,뒤끝작렬,,
,74,드림사이드,,
,75,따봉으로 레벨업,X,
,76,라이프 크라이,,
,77,라지에르의 서,,
,78,래더토너먼트,,
,79,레스큐 시스템,,
,80,리그 오브 아레스,,
,81,리버스 나이트,,
,82,리플 : 버서커,,
,83,마나의 군주,X,
,84,마녀를 지켜라,,
,85,마녀의 세계에서 최강인 것은 물,,
,86,마도사의 탑,,
,87,마도전함 메르티스,,
,88,마도총격: 강철의 스나이퍼,,
,89,마력 0에서 최강,,
,90,마르스 전기,,
,91,마신은 평화롭게 살고 싶다,X,
,92,마왕 전용 사기 시스템,,
